timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706830587859,872,https://www.facebook.com/,200,OK,Thread Group 1-1,text,true,,68073,745,9,9,https://www.facebook.com/,518,0,311
1706830587972,916,https://www.facebook.com/,200,OK,Thread Group 1-2,text,true,,68056,745,10,10,https://www.facebook.com/,498,0,297
1706830588059,928,https://www.facebook.com/,200,OK,Thread Group 1-3,text,true,,68053,745,10,10,https://www.facebook.com/,483,0,252
1706830588158,866,https://www.facebook.com/,200,OK,Thread Group 1-4,text,true,,68056,745,10,10,https://www.facebook.com/,415,0,260
1706830588359,992,https://www.facebook.com/,200,OK,Thread Group 1-6,text,true,,68061,745,10,10,https://www.facebook.com/,531,0,274
1706830588259,1124,https://www.facebook.com/,200,OK,Thread Group 1-5,text,true,,68065,745,10,10,https://www.facebook.com/,629,0,286
1706830588459,953,https://www.facebook.com/,200,OK,Thread Group 1-7,text,true,,68070,745,10,10,https://www.facebook.com/,537,0,256
1706830588988,436,https://facebook.com/security/hsts-pixel.gif,200,OK,Thread Group 1-3,bin,true,,3510,415,10,10,https://facebook.com/security/hsts-pixel.gif,436,0,274
1706830588058,1364,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,71563,1160,10,10,null,919,2,526
1706830588733,754,https://facebook.com/security/hsts-pixel.gif,200,OK,Thread Group 1-1,bin,true,,3510,415,10,10,https://facebook.com/security/hsts-pixel.gif,753,0,530
1706830588890,597,https://facebook.com/security/hsts-pixel.gif,200,OK,Thread Group 1-2,bin,true,,3510,415,10,10,https://facebook.com/security/hsts-pixel.gif,596,0,372
1706830587858,1626,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,71583,1160,10,10,null,1271,3,841
1706830587971,1513,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,71566,1160,10,10,null,1094,3,669
1706830589025,500,https://facebook.com/security/hsts-pixel.gif,200,OK,Thread Group 1-4,bin,true,,3572,415,10,10,https://facebook.com/security/hsts-pixel.gif,500,0,361
1706830588157,1366,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,71628,1160,10,10,null,915,3,621
1706830588562,976,https://www.facebook.com/,200,OK,Thread Group 1-8,text,true,,68057,745,10,10,https://www.facebook.com/,631,0,414
1706830588660,895,https://www.facebook.com/,200,OK,Thread Group 1-9,text,true,,68079,745,10,10,https://www.facebook.com/,560,0,339
1706830588760,889,https://www.facebook.com/,200,OK,Thread Group 1-10,text,true,,68076,745,10,10,https://www.facebook.com/,653,0,409
